epoch,acc,loss,val_acc,val_loss
0,0.23199728260869565,2.3050061464309692,0.24934123864836685,1.8332278433210452
1,0.26223294284941817,1.8256795906675511,0.24934123819681653,1.7986208250714228
2,0.26481736743556966,1.8012365788775917,0.24934123864836685,1.7944831351831811
3,0.28480358385858989,1.7852722344769847,0.24934123864836685,1.8055865499184851
4,0.28962784290806659,1.7632353656625517,0.24769433461159115,1.8463678652118789
5,0.28893866290888404,1.7499277694401127,0.24769433461159115,1.8539275623592935
6,0.29908288043478259,1.7436828976092131,0.24934123819681653,1.8487117588912703
7,0.29531357696679111,1.7404373429053246,0.24769433461159115,1.8471099166530864
8,0.2982425912341769,1.7207255117815992,0.24769433461159115,1.8617271657674836
9,0.30134390081971535,1.7171424869666174,0.24769433461159115,1.8024352325595259
10,0.30875258442453479,1.7141853696637774,0.24868247690408127,1.8585985198479553
11,0.31478290835961564,1.6939133337495411,0.24835309613991788,1.8559747287250161
12,0.31997282608695654,1.7029780797336413,0.25625823357673816,1.8018819610434873
